Team,Standing,League Name,Year
Off Script ,2nd,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,3rd,THE BEST OF THE BEST,2023
Team Sunshine,3rd,THE BEST OF THE BEST,2023
Off Script ,3rd,THE BEST OF THE BEST,2023
Toon Squad,3rd,THE BEST OF THE BEST,2023
the   jadey bunch,Didn't Make Playoffs,THE BEST OF THE BEST,2023
The  Dream crusher,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Crazy Kat,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,Champion,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,2nd,THE BEST OF THE BEST,2023
Off Script ,2nd,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,3rd,THE BEST OF THE BEST,2023
Team Sunshine,3rd,THE BEST OF THE BEST,2023
Off Script ,3rd,THE BEST OF THE BEST,2023
Toon Squad,3rd,THE BEST OF THE BEST,2023
the   jadey bunch,Didn't Make Playoffs,THE BEST OF THE BEST,2023
The  Dream crusher,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Crazy Kat,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Team BB,Champion,Brown Munde,2024
Team BB,2nd,Brown Munde,2024
NoHalfSends,2nd,Brown Munde,2024
Still Rollin',3rd,Brown Munde,2024
Team BB,3rd,Brown Munde,2024
NoHalfSends,3rd,Brown Munde,2024
THE BIGMADBLUE,3rd,Brown Munde,2024
Bhals,Didn't Make Playoffs,Brown Munde,2024
Bye,Didn't Make Playoffs,Brown Munde,2024
Meet the Nabers,Didn't Make Playoffs,Brown Munde,2024
Team HebAchi,Champion,Game of Yards!,2022
Stiff Armed and Dangerous,2nd,Game of Yards!,2022
Team HebAchi,2nd,Game of Yards!,2022
Stiff Armed and Dangerous,3rd,Game of Yards!,2022
Pain Inflictors,3rd,Game of Yards!,2022
Team HebAchi,3rd,Game of Yards!,2022
Wakanda Forever,3rd,Game of Yards!,2022
Bhambhwani Pawan Dilip,Didn't Make Playoffs,Game of Yards!,2022
Bye,Didn't Make Playoffs,Game of Yards!,2022
Team CTE,Didn't Make Playoffs,Game of Yards!,2022
THE BIGMADBLUE,Champion,Game of Yards!,2023
Pain Inflictors,2nd,Game of Yards!,2023
THE BIGMADBLUE,2nd,Game of Yards!,2023
Kelce You Again!,Didn't Make Playoffs,Game of Yards!,2023
Run CMC,Didn't Make Playoffs,Game of Yards!,2023
Wakanda Forever,Didn't Make Playoffs,Game of Yards!,2023
Bye,Didn't Make Playoffs,Game of Yards!,2023
Brown Munde,Didn't Make Playoffs,Game of Yards!,2023
Book of MoreMoms,Champion,Pennoni Younglings,2023
Bli Erinker,2nd,Pennoni Younglings,2023
Book of MoreMoms,2nd,Pennoni Younglings,2023
Team Cogs,3rd,Pennoni Younglings,2023
19th St Halal Cart,3rd,Pennoni Younglings,2023
Book of MoreMoms,3rd,Pennoni Younglings,2023
Bli Erinker,3rd,Pennoni Younglings,2023
I'd_Tap_ That,Didn't Make Playoffs,Pennoni Younglings,2023
PAI India Division Manager,Didn't Make Playoffs,Pennoni Younglings,2023
The Golden Receivers,Didn't Make Playoffs,Pennoni Younglings,2023
PAI Alcoholics Anonymous ,Didn't Make Playoffs,Pennoni Younglings,2023
Peter Pan + the Lost Boys ,Champion,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,2nd,THE BEST OF THE BEST,2023
Off Script ,2nd,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,3rd,THE BEST OF THE BEST,2023
Team Sunshine,3rd,THE BEST OF THE BEST,2023
Off Script ,3rd,THE BEST OF THE BEST,2023
Toon Squad,3rd,THE BEST OF THE BEST,2023
the   jadey bunch,Didn't Make Playoffs,THE BEST OF THE BEST,2023
The  Dream crusher,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Crazy Kat,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,Champion,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,2nd,THE BEST OF THE BEST,2023
Off Script ,2nd,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,3rd,THE BEST OF THE BEST,2023
Team Sunshine,3rd,THE BEST OF THE BEST,2023
Off Script ,3rd,THE BEST OF THE BEST,2023
Toon Squad,3rd,THE BEST OF THE BEST,2023
the   jadey bunch,Didn't Make Playoffs,THE BEST OF THE BEST,2023
The  Dream crusher,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Crazy Kat,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Team Rodriguez,Champion,THE BEST OF THE BEST,2024
Team Rodriguez,2nd,THE BEST OF THE BEST,2024
Taco Tuesday Everyday,2nd,THE BEST OF THE BEST,2024
Team Rodriguez,3rd,THE BEST OF THE BEST,2024
Crazy Kat,3rd,THE BEST OF THE BEST,2024
Taco Tuesday Everyday,3rd,THE BEST OF THE BEST,2024
It HURTS being an Eagles fan ,3rd,THE BEST OF THE BEST,2024
Wu-Tangs Killabeez,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Terrell Suggs to be you,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Dirty Tone and  The Boys,Didn't Make Playoffs,THE BEST OF THE BEST,2024
Peter Pan + the Lost Boys ,Didn't Make Playoffs,THE BEST OF THE BEST,2024
THE POOL,Champion,EBC League,2023
Bryson Stott Fan Club,2nd,EBC League,2023
THE POOL,2nd,EBC League,2023
Riley  Read option,3rd,EBC League,2023
THE POOL,3rd,EBC League,2023
Inter Miami CF,3rd,EBC League,2023
Bryson Stott Fan Club,3rd,EBC League,2023
Abyss Diamond Eyes,Didn't Make Playoffs,EBC League,2023
Wut happened uh 🤷🏽‍♂️,Didn't Make Playoffs,EBC League,2023
Bye,Didn't Make Playoffs,EBC League,2023
Peter Pan + the Lost Boys ,Champion,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,2nd,THE BEST OF THE BEST,2023
Off Script ,2nd,THE BEST OF THE BEST,2023
Peter Pan + the Lost Boys ,3rd,THE BEST OF THE BEST,2023
Team Sunshine,3rd,THE BEST OF THE BEST,2023
Off Script ,3rd,THE BEST OF THE BEST,2023
Toon Squad,3rd,THE BEST OF THE BEST,2023
the   jadey bunch,Didn't Make Playoffs,THE BEST OF THE BEST,2023
The  Dream crusher,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Maid of Honor,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Crazy Kat,Didn't Make Playoffs,THE BEST OF THE BEST,2023
Team HebAchi,Champion,Game of Yards!,2022
Stiff Armed and Dangerous,2nd,Game of Yards!,2022
Team HebAchi,2nd,Game of Yards!,2022
Stiff Armed and Dangerous,3rd,Game of Yards!,2022
Pain Inflictors,3rd,Game of Yards!,2022
Team HebAchi,3rd,Game of Yards!,2022
Wakanda Forever,3rd,Game of Yards!,2022
Bhambhwani Pawan Dilip,Didn't Make Playoffs,Game of Yards!,2022
Bye,Didn't Make Playoffs,Game of Yards!,2022
Team CTE,Didn't Make Playoffs,Game of Yards!,2022
