Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,League Name,Year
7 - 4,70,Isiah Pacheco,RB,Chicken Fried Chicken Meal,0.0,0.0,191.9,13.71,14,82.36,B-,0755 Fantasy Football,2023
9 - 8,96,Brian Robinson Jr.,RB,Here 4 fun,0.0,0.0,180.1,12.01,15,82.22,B-,0755 Fantasy Football,2023
11 - 5,115,Jakobi Meyers,WR,Arm Pitts,0.0,0.0,183.08,11.44,16,82.21,B-,0755 Fantasy Football,2023
5 - 7,51,Amari Cooper,WR,Brady Gaga,0.0,0.0,191.0,12.73,15,82.2,B-,0755 Fantasy Football,2023
5 - 5,49,Kenneth Walker III,RB,Arm Pitts,0.0,0.0,184.9,12.33,15,82.1,B-,0755 Fantasy Football,2023
8 - 7,84,Michael Pittman Jr.,WR,Arm Pitts,0.0,0.0,195.7,12.23,16,81.73,B-,0755 Fantasy Football,2023
14 - 3,146,Geno Smith,QB,Furnace Party,0.0,0.0,226.76,15.12,15,81.44,B-,0755 Fantasy Football,2023
9 - 4,92,D'Andre Swift,RB,Chicken Fried Chicken Meal,0.0,0.0,179.8,11.24,16,81.42,B-,0755 Fantasy Football,2023
2 - 4,15,Tony Pollard,RB,Here 4 fun,0.0,0.0,195.1,11.48,17,81.35,B-,0755 Fantasy Football,2023
10 - 3,102,Kirk Cousins,QB,Furnace Party,0.0,0.0,149.74,18.72,8,81.17,B-,0755 Fantasy Football,2023
1 - 1,1,Justin Jefferson,WR,MOTHER MAY I,0.0,0.0,168.2,16.82,10,81.1,B-,0755 Fantasy Football,2023
9 - 2,90,Jordan Addison,WR,3rd World Immigrant,0.0,0.0,186.3,10.96,17,81.06,B-,0755 Fantasy Football,2023
12 - 10,131,Adam Thielen,WR,3rd World Immigrant,0.0,0.0,179.5,10.56,17,80.99,B-,0755 Fantasy Football,2023
2 - 9,20,DK Metcalf,WR,MPT Phase Tua,0.0,0.0,192.4,12.03,16,80.24,B-,0755 Fantasy Football,2023
5 - 11,55,T.J. Hockenson,TE,"Baby Chark, Juju Juju ",0.0,0.0,171.5,11.43,15,80.22,B-,0755 Fantasy Football,2023
5 - 8,52,DeAndre Hopkins,WR,Here 4 fun,0.0,0.0,186.1,10.95,17,79.88,C+,0755 Fantasy Football,2023
12 - 7,128,Jets D/ST,D/ST,Arm Pitts,0.0,0.0,171.0,10.06,17,79.45,C+,0755 Fantasy Football,2023
3 - 1,23,Chris Olave,WR,MOTHER MAY I,182.66,12.18,187.8,11.74,16,79.22,C+,0755 Fantasy Football,2023
1 - 6,6,Travis Kelce,TE,India's Most Wanted,0.0,0.0,172.9,11.53,15,79.04,C+,0755 Fantasy Football,2023
3 - 3,25,DeVonta Smith,WR,MPT Phase Tua,0.0,0.0,187.1,11.69,16,79.01,C+,0755 Fantasy Football,2023
12 - 11,132,Jaylen Warren,RB,MOTHER MAY I,0.0,0.0,165.9,9.76,17,78.98,C+,0755 Fantasy Football,2023
11 - 8,118,Bills D/ST,D/ST,Here 4 fun,0.0,0.0,171.0,10.06,17,78.86,C+,0755 Fantasy Football,2023
4 - 1,34,Calvin Ridley,WR,"Baby Chark, Juju Juju ",0.0,0.0,191.9,11.29,17,78.78,C+,0755 Fantasy Football,2023
3 - 8,30,Najee Harris,RB,Here 4 fun,0.0,0.0,181.0,10.65,17,78.25,C+,0755 Fantasy Football,2023
3 - 4,26,George Kittle,TE,Chicken Fried Chicken Meal,0.0,0.0,170.7,10.67,16,78.02,C+,0755 Fantasy Football,2023
13 - 10,142,Cowboys D/ST,D/ST,Pineapples and Tartar Sauce,0.0,0.0,189.0,11.12,17,77.93,C+,0755 Fantasy Football,2023
2 - 11,22,Josh Jacobs,RB,MOTHER MAY I,0.0,0.0,162.6,12.51,13,77.79,C+,0755 Fantasy Football,2023
12 - 5,126,Jake Elliott,K,Brady Gaga,134.69,7.92,153.0,9.0,17,77.64,C+,0755 Fantasy Football,2023
7 - 8,74,Evan Engram,TE,Here 4 fun,0.0,0.0,173.3,10.19,17,77.61,C+,0755 Fantasy Football,2023
6 - 11,66,Jonathan Taylor,RB,MOTHER MAY I,0.0,0.0,146.9,14.69,10,77.5,C+,0755 Fantasy Football,2023
14 - 6,149,Ravens D/ST,D/ST,India's Most Wanted,0.0,0.0,190.0,11.18,17,77.18,C+,0755 Fantasy Football,2023
8 - 9,86,David Njoku,TE,MPT Phase Tua,0.0,0.0,160.7,10.04,16,76.81,C,0755 Fantasy Football,2023
6 - 8,63,George Pickens,WR,Chicken Fried Chicken Meal,0.0,0.0,177.3,10.43,17,76.51,C,0755 Fantasy Football,2023
1 - 3,3,Austin Ekeler,RB,MPT Phase Tua,0.0,0.0,159.9,11.42,14,76.49,C,0755 Fantasy Football,2023
8 - 3,80,Terry McLaurin,WR,Furnace Party,0.0,0.0,169.7,9.98,17,76.44,C,0755 Fantasy Football,2023
10 - 2,101,Zay Flowers,WR,Pineapples and Tartar Sauce,0.0,0.0,167.9,10.49,16,76.1,C,0755 Fantasy Football,2023
3 - 9,31,Jaylen Waddle,WR,Furnace Party,0.0,0.0,162.6,11.61,14,75.66,C,0755 Fantasy Football,2023
5 - 10,54,Tyler Lockett,WR,Pineapples and Tartar Sauce,0.0,0.0,162.9,9.58,17,75.61,C,0755 Fantasy Football,2023
8 - 4,81,Courtland Sutton,WR,Here 4 fun,0.0,0.0,160.7,10.04,16,75.29,C,0755 Fantasy Football,2023
2 - 10,21,Garrett Wilson,WR,3rd World Immigrant,208.99,13.93,165.7,9.75,17,75.24,C,0755 Fantasy Football,2023
16 - 6,171,Cameron Dicker,K,India's Most Wanted,133.42,7.85,149.0,8.76,17,75.12,C,0755 Fantasy Football,2023
6 - 3,58,Chris Godwin,WR,Furnace Party,0.0,0.0,167.7,9.86,17,75.03,C,0755 Fantasy Football,2023
10 - 7,106,Justin Tucker,K,Arm Pitts,141.89,8.35,153.0,9.0,17,74.42,C,0755 Fantasy Football,2023
9 - 9,97,Cole Kmet,TE,Furnace Party,0.0,0.0,144.6,8.51,17,74.14,C,0755 Fantasy Football,2023
6 - 9,64,Javonte Williams,RB,MPT Phase Tua,0.0,0.0,155.7,9.73,16,73.9,C,0755 Fantasy Football,2023
9 - 1,89,Brandin Cooks,WR,MOTHER MAY I,0.0,0.0,146.2,9.14,16,73.85,C,0755 Fantasy Football,2023
3 - 11,33,Joe Burrow,QB,"Baby Chark, Juju Juju ",0.0,0.0,147.16,14.72,10,73.46,C,0755 Fantasy Football,2023
2 - 2,13,Cooper Kupp,WR,Pineapples and Tartar Sauce,0.0,0.0,134.9,11.24,12,72.72,C-,0755 Fantasy Football,2023
10 - 1,100,49ers D/ST,D/ST,"Baby Chark, Juju Juju ",0.0,0.0,151.0,8.88,17,72.28,C-,0755 Fantasy Football,2023
13 - 11,143,Harrison Butker,K,"Baby Chark, Juju Juju ",133.57,7.86,149.0,8.76,17,72.03,C-,0755 Fantasy Football,2023
15 - 5,159,Devin Singletary,RB,Arm Pitts,0.0,0.0,152.34,8.96,17,71.7,C-,0755 Fantasy Football,2023
13 - 9,141,Anthony Richardson,QB,Furnace Party,0.0,0.0,72.68,18.17,4,71.59,C-,0755 Fantasy Football,2023
15 - 9,163,Dolphins D/ST,D/ST,Furnace Party,0.0,0.0,155.0,9.12,17,71.3,C-,0755 Fantasy Football,2023
12 - 3,124,Dalton Schultz,TE,Furnace Party,0.0,0.0,121.0,8.07,15,71.24,C-,0755 Fantasy Football,2023
13 - 4,136,Ezekiel Elliott,RB,Chicken Fried Chicken Meal,115.85,8.27,149.0,8.76,17,71.1,C-,0755 Fantasy Football,2023
5 - 6,50,Diontae Johnson,WR,India's Most Wanted,0.0,0.0,127.2,9.09,14,70.44,C-,0755 Fantasy Football,2023
4 - 2,35,Rhamondre Stevenson,RB,Pineapples and Tartar Sauce,0.0,0.0,126.7,10.56,12,70.41,C-,0755 Fantasy Football,2023
14 - 2,145,Jason Myers,K,Pineapples and Tartar Sauce,132.22,7.78,144.0,8.47,17,70.33,C-,0755 Fantasy Football,2023
8 - 1,78,Christian Kirk,WR,"Baby Chark, Juju Juju ",0.0,0.0,121.76,10.15,12,70.3,C-,0755 Fantasy Football,2023
6 - 6,61,Drake London,WR,India's Most Wanted,0.0,0.0,139.88,8.74,16,70.15,C-,0755 Fantasy Football,2023
4 - 3,36,Aaron Jones,RB,Furnace Party,0.0,0.0,119.9,10.9,11,69.69,D+,0755 Fantasy Football,2023
4 - 5,38,Mark Andrews,TE,Brady Gaga,0.0,0.0,112.9,11.29,10,69.63,D+,0755 Fantasy Football,2023
13 - 2,134,Saints D/ST,D/ST,3rd World Immigrant,0.0,0.0,145.0,8.53,17,69.62,D+,0755 Fantasy Football,2023
13 - 1,133,Evan McPherson,K,MOTHER MAY I,0.0,0.0,135.0,7.94,17,69.45,D+,0755 Fantasy Football,2023
14 - 10,153,Jake Ferguson,TE,3rd World Immigrant,0.0,0.0,141.6,8.33,17,69.04,D+,0755 Fantasy Football,2023
10 - 11,110,Steelers D/ST,D/ST,MOTHER MAY I,0.0,0.0,137.0,8.06,17,68.94,D+,0755 Fantasy Football,2023
12 - 9,130,Patriots D/ST,D/ST,MPT Phase Tua,0.0,0.0,122.0,7.18,17,68.42,D+,0755 Fantasy Football,2023
5 - 4,48,Alexander Mattison,RB,Chicken Fried Chicken Meal,0.0,0.0,118.2,7.39,16,68.24,D+,0755 Fantasy Football,2023
13 - 5,137,Gabe Davis,WR,Arm Pitts,0.0,0.0,138.9,8.17,17,68.1,D+,0755 Fantasy Football,2023
3 - 5,27,Tee Higgins,WR,Arm Pitts,0.0,0.0,116.6,9.72,12,68.03,D+,0755 Fantasy Football,2023
13 - 3,135,Younghoe Koo,K,MPT Phase Tua,130.28,7.66,128.0,7.53,17,67.77,D+,0755 Fantasy Football,2023
11 - 4,114,Daniel Carlson,K,Chicken Fried Chicken Meal,136.66,8.04,112.0,6.59,17,67.61,D+,0755 Fantasy Football,2023
5 - 3,47,Dallas Goedert,TE,MPT Phase Tua,0.0,0.0,106.8,7.63,14,67.34,D+,0755 Fantasy Football,2023
6 - 10,65,Deshaun Watson,QB,3rd World Immigrant,0.0,0.0,86.8,14.47,6,67.02,D+,0755 Fantasy Football,2023
9 - 5,93,Jaxon Smith-Njigba,WR,Arm Pitts,0.0,0.0,118.3,6.96,17,67.0,D+,0755 Fantasy Football,2023
9 - 7,95,Marquise Brown,WR,Brady Gaga,0.0,0.0,109.2,7.8,14,66.48,D,0755 Fantasy Football,2023
9 - 3,91,AJ Dillon,RB,MPT Phase Tua,0.0,0.0,106.6,7.11,15,66.04,D,0755 Fantasy Football,2023
8 - 2,79,Jerry Jeudy,WR,Pineapples and Tartar Sauce,0.0,0.0,114.8,7.17,16,65.83,D,0755 Fantasy Football,2023
13 - 8,140,Tyler Bass,K,Here 4 fun,130.52,7.68,120.0,7.06,17,65.67,D,0755 Fantasy Football,2023
8 - 10,87,Khalil Herbert,RB,3rd World Immigrant,0.0,0.0,102.5,8.54,12,65.64,D,0755 Fantasy Football,2023
14 - 7,150,Tyler Allgeier,RB,Arm Pitts,0.0,0.0,128.6,7.56,17,65.48,D,0755 Fantasy Football,2023
7 - 5,71,Kyle Pitts,TE,Arm Pitts,0.0,0.0,110.8,6.52,17,65.17,D,0755 Fantasy Football,2023
15 - 1,155,Zach Wilson,QB,MOTHER MAY I,0.0,0.0,119.94,9.99,12,65.0,D,0755 Fantasy Football,2023
13 - 6,138,Dalton Kincaid,TE,India's Most Wanted,0.0,0.0,113.8,7.11,16,64.38,D,0755 Fantasy Football,2023
9 - 10,98,Antonio Gibson,RB,Pineapples and Tartar Sauce,0.0,0.0,103.4,6.46,16,64.35,D,0755 Fantasy Football,2023
16 - 4,169,Tyler Boyd,WR,Here 4 fun,120.77,8.05,111.3,6.55,17,64.06,D,0755 Fantasy Football,2023
5 - 9,53,Christian Watson,WR,Furnace Party,0.0,0.0,87.3,8.73,10,63.89,D,0755 Fantasy Football,2023
5 - 2,46,Darren Waller,TE,3rd World Immigrant,0.0,0.0,87.2,7.27,12,63.61,D,0755 Fantasy Football,2023
11 - 6,116,Elijah Moore,WR,India's Most Wanted,117.66,7.84,102.6,6.04,17,63.51,D,0755 Fantasy Football,2023
8 - 5,82,Jahan Dotson,WR,Brady Gaga,143.17,9.54,100.3,5.9,17,62.06,D-,0755 Fantasy Football,2023
7 - 9,75,Mike Williams,WR,Furnace Party,0.0,0.0,40.7,13.57,3,61.37,D-,0755 Fantasy Football,2023
12 - 6,127,Zach Charbonnet,RB,India's Most Wanted,0.0,0.0,89.6,5.6,16,61.29,D-,0755 Fantasy Football,2023
16 - 8,173,Bengals D/ST,D/ST,Chicken Fried Chicken Meal,0.0,0.0,101.0,5.94,17,61.17,D-,0755 Fantasy Football,2023
14 - 11,154,Kenny Pickett,QB,MOTHER MAY I,0.0,0.0,110.2,9.18,12,60.74,D-,0755 Fantasy Football,2023
10 - 6,105,Samaje Perine,RB,India's Most Wanted,0.0,0.0,96.3,5.66,17,60.69,D-,0755 Fantasy Football,2023
11 - 7,117,Eagles D/ST,D/ST,Brady Gaga,0.0,0.0,87.0,5.12,17,59.48,F-,0755 Fantasy Football,2023
10 - 9,108,Odell Beckham Jr.,WR,MPT Phase Tua,125.19,9.63,90.0,6.43,14,59.47,F-,0755 Fantasy Football,2023
15 - 3,157,DJ Chark Jr.,WR,MPT Phase Tua,117.15,9.01,98.0,6.53,15,59.29,F-,0755 Fantasy Football,2023
11 - 1,111,Rondale Moore,WR,MOTHER MAY I,0.0,0.0,85.0,5.0,17,59.22,F-,0755 Fantasy Football,2023
16 - 10,175,Riley Patterson,K,3rd World Immigrant,0.0,0.0,85.0,5.67,15,58.99,F-,0755 Fantasy Football,2023
12 - 1,122,Jerick McKinnon,RB,"Baby Chark, Juju Juju ",117.43,8.39,71.86,5.99,12,58.74,F-,0755 Fantasy Football,2023
15 - 8,162,K.J. Osborn,WR,Here 4 fun,0.0,0.0,96.0,6.0,16,57.99,F-,0755 Fantasy Football,2023
8 - 8,85,Michael Thomas,WR,Chicken Fried Chicken Meal,128.5,9.88,70.3,7.03,10,57.67,F-,0755 Fantasy Football,2023
4 - 11,44,Dameon Pierce,RB,MOTHER MAY I,0.0,0.0,76.2,5.44,14,57.36,F-,0755 Fantasy Football,2023
13 - 7,139,Roschon Johnson,RB,Brady Gaga,0.0,0.0,85.1,5.67,15,56.64,F-,0755 Fantasy Football,2023
10 - 10,109,Daniel Jones,QB,3rd World Immigrant,0.0,0.0,56.96,9.49,6,56.63,F-,0755 Fantasy Football,2023
15 - 11,165,Tyler Higbee,TE,"Baby Chark, Juju Juju ",0.0,0.0,85.0,5.67,15,56.49,F-,0755 Fantasy Football,2023
6 - 7,62,Miles Sanders,RB,Arm Pitts,0.0,0.0,74.1,4.63,16,56.37,F-,0755 Fantasy Football,2023
11 - 10,120,Jameson Williams,WR,Pineapples and Tartar Sauce,0.0,0.0,68.3,5.69,12,56.32,F-,0755 Fantasy Football,2023
15 - 10,164,Chigoziem Okonkwo,TE,Pineapples and Tartar Sauce,0.0,0.0,86.4,5.08,17,56.23,F-,0755 Fantasy Football,2023
15 - 7,161,Juwan Johnson,TE,Brady Gaga,0.0,0.0,79.3,6.1,13,56.05,F-,0755 Fantasy Football,2023
11 - 11,121,Quentin Johnston,WR,"Baby Chark, Juju Juju ",0.0,0.0,75.0,4.41,17,55.88,F-,0755 Fantasy Football,2023
14 - 5,148,Kenneth Gainwell,RB,Brady Gaga,0.0,0.0,82.38,5.15,16,54.61,F-,0755 Fantasy Football,2023
7 - 1,67,Pat Freiermuth,TE,MOTHER MAY I,119.01,7.93,60.8,5.07,12,54.12,F-,0755 Fantasy Football,2023
1 - 10,10,Nick Chubb,RB,Pineapples and Tartar Sauce,0.0,0.0,21.1,10.55,2,53.93,F-,0755 Fantasy Football,2023
11 - 2,112,Darnell Mooney,WR,3rd World Immigrant,0.0,0.0,63.4,4.23,15,53.59,F-,0755 Fantasy Football,2023
7 - 10,76,J.K. Dobbins,RB,Pineapples and Tartar Sauce,170.05,13.08,10.7,10.7,1,51.57,F-,0755 Fantasy Football,2023
14 - 4,147,Michael Gallup,WR,Here 4 fun,131.55,8.77,70.8,4.16,17,50.72,F-,0755 Fantasy Football,2023
7 - 2,68,Cam Akers,RB,3rd World Immigrant,179.5,12.82,41.2,5.89,7,50.08,F-,0755 Fantasy Football,2023
10 - 4,103,Jamaal Williams,RB,Here 4 fun,0.0,0.0,51.8,3.98,13,49.34,F-,0755 Fantasy Football,2023
9 - 11,99,JuJu Smith-Schuster,WR,"Baby Chark, Juju Juju ",0.0,0.0,46.5,4.23,11,49.13,F-,0755 Fantasy Football,2023
12 - 2,123,Elijah Mitchell,RB,Pineapples and Tartar Sauce,0.0,0.0,44.5,4.05,11,48.91,F-,0755 Fantasy Football,2023
9 - 6,94,Skyy Moore,WR,India's Most Wanted,0.0,0.0,43.2,3.09,14,47.32,F-,0755 Fantasy Football,2023
8 - 6,83,Dalvin Cook,RB,India's Most Wanted,141.02,10.07,32.7,2.18,15,43.98,F-,0755 Fantasy Football,2023
14 - 8,151,Allen Lazard,WR,Chicken Fried Chicken Meal,0.0,0.0,48.6,3.47,14,43.95,F-,0755 Fantasy Football,2023
16 - 3,168,Graham Gano,K,Furnace Party,136.41,8.02,32.0,4.0,8,42.64,F-,0755 Fantasy Football,2023
16 - 5,170,Kadarius Toney,WR,Brady Gaga,0.0,0.0,39.5,3.04,13,42.16,F-,0755 Fantasy Football,2023
10 - 8,107,Treylon Burks,WR,Chicken Fried Chicken Meal,0.0,0.0,31.9,2.9,11,41.71,F-,0755 Fantasy Football,2023
15 - 2,156,Chase Edmonds,RB,3rd World Immigrant,0.0,0.0,32.7,2.52,13,38.69,F-,0755 Fantasy Football,2023
16 - 1,166,Damien Harris,RB,"Baby Chark, Juju Juju ",97.17,6.94,18.0,3.0,6,34.52,F-,0755 Fantasy Football,2023
16 - 11,176,Parris Campbell,WR,MOTHER MAY I,0.0,0.0,20.4,1.7,12,31.81,F-,0755 Fantasy Football,2023
11 - 9,119,Rashaad Penny,RB,Furnace Party,123.76,9.52,4.3,1.43,3,25.83,F-,0755 Fantasy Football,2023
12 - 8,129,Deon Jackson,RB,Chicken Fried Chicken Meal,0.0,0.0,1.5,0.38,4,17.99,F-,0755 Fantasy Football,2023
16 - 9,174,Evan Hull,RB,MPT Phase Tua,0.0,0.0,1.2,1.2,1,12.18,F-,0755 Fantasy Football,2023
12 - 4,125,Aaron Rodgers,QB,Here 4 fun,0.0,0.0,0.0,0.0,1,10.0,F-,0755 Fantasy Football,2023
1 - 8,8,Ja'Marr Chase,WR,Dak Stinks,289.45,20.67,403.0,23.71,17,100.0,A+,0755 Fantasy Football,2024
13 - 10,130,Bucky Irving,RB,All my homies hate Dallas,112.11,8.01,244.4,14.38,17,100.0,A+,0755 Fantasy Football,2024
13 - 3,123,Brock Bowers,TE,I'm Batman,144.0,9.6,262.7,15.45,17,100.0,A+,0755 Fantasy Football,2024
2 - 7,17,Jahmyr Gibbs,RB,Division iPad,238.5,17.04,362.9,21.35,17,100.0,A+,0755 Fantasy Football,2024
4 - 4,34,Lamar Jackson,QB,Olave Another,303.83,20.26,430.38,25.32,17,100.0,A+,0755 Fantasy Football,2024
1 - 7,7,Saquon Barkley,RB,Olave Another,252.41,18.03,355.3,22.21,16,100.0,A+,0755 Fantasy Football,2024
2 - 9,19,Derrick Henry,RB,Chicken Fried Chicken Meal,225.04,16.07,336.4,19.79,17,100.0,A+,0755 Fantasy Football,2024
13 - 1,121,Jayden Daniels,QB,Metcalves of Steele,255.91,17.06,355.82,20.93,17,100.0,A+,0755 Fantasy Football,2024
10 - 7,97,Brian Thomas Jr.,WR,Division iPad,171.63,11.44,284.0,16.71,17,100.0,A+,0755 Fantasy Football,2024
12 - 7,117,Chuba Hubbard,RB,Division iPad,136.19,9.73,241.6,16.11,15,100.0,A+,0755 Fantasy Football,2024
7 - 1,61,Joe Burrow,QB,Metcalves of Steele,278.72,18.58,372.82,21.93,17,98.59,A+,0755 Fantasy Football,2024
14 - 6,136,Jared Goff,QB,It's Britney's Bench,234.9,15.66,324.46,19.09,17,98.41,A+,0755 Fantasy Football,2024
4 - 8,38,De'Von Achane,RB,I'm Batman,211.07,15.08,299.9,17.64,17,96.79,A,0755 Fantasy Football,2024
10 - 8,98,Chase Brown,RB,I'm Batman,166.97,11.93,255.0,15.94,16,96.7,A,0755 Fantasy Football,2024
1 - 2,2,Bijan Robinson,RB,Chicken Fried Chicken Meal,292.77,20.91,341.7,20.1,17,96.4,A,0755 Fantasy Football,2024
4 - 6,36,Josh Allen,QB,It's Britney's Bench,313.58,20.91,379.04,22.3,17,96.25,A,0755 Fantasy Football,2024
16 - 10,160,Jerry Jeudy,WR,Metcalves of Steele,176.72,11.78,240.9,14.17,17,95.24,A,0755 Fantasy Football,2024
3 - 8,28,Josh Jacobs,RB,Dak Stinks,216.51,15.46,293.1,17.24,17,94.67,A,0755 Fantasy Football,2024
6 - 5,55,Trey McBride,TE,3rd World Immigrant,182.3,12.15,249.8,15.61,16,94.36,A,0755 Fantasy Football,2024
8 - 6,76,Terry McLaurin,WR,It's Britney's Bench,193.47,12.9,267.8,15.75,17,94.21,A,0755 Fantasy Football,2024
7 - 5,65,George Kittle,TE,It's Britney's Bench,175.43,11.7,236.6,15.77,15,93.55,A,0755 Fantasy Football,2024
1 - 9,9,Justin Jefferson,WR,Patrick's Stars,282.2,18.81,317.48,18.68,17,92.79,A-,0755 Fantasy Football,2024
6 - 7,57,James Conner,RB,Division iPad,177.8,13.68,253.8,15.86,16,92.61,A-,0755 Fantasy Football,2024
5 - 10,50,Malik Nabers,WR,All my homies hate Dallas,222.57,14.84,273.6,18.24,15,92.59,A-,0755 Fantasy Football,2024
9 - 8,88,Jaxon Smith-Njigba,WR,Dak Stinks,191.39,12.76,253.0,14.88,17,92.34,A-,0755 Fantasy Football,2024
1 - 6,6,Amon-Ra St. Brown,WR,3rd World Immigrant,283.98,18.93,316.18,18.6,17,92.33,A-,0755 Fantasy Football,2024
10 - 4,94,Ladd McConkey,WR,Olave Another,178.4,11.89,240.9,15.06,16,92.21,A-,0755 Fantasy Football,2024
14 - 4,134,Brandon Aubrey,K,Olave Another,137.32,8.08,177.0,10.41,17,92.11,A-,0755 Fantasy Football,2024
15 - 10,150,Cameron Dicker,K,All my homies hate Dallas,133.85,7.87,171.0,10.06,17,91.92,A-,0755 Fantasy Football,2024
15 - 2,142,Justin Herbert,QB,Chicken Fried Chicken Meal,252.01,16.8,285.4,16.79,17,91.72,A-,0755 Fantasy Football,2024
3 - 6,26,Drake London,WR,3rd World Immigrant,225.56,15.04,280.8,16.52,17,91.18,A-,0755 Fantasy Football,2024
14 - 2,132,Jakobi Meyers,WR,Patrick's Stars,175.23,11.68,218.0,14.53,15,90.62,A-,0755 Fantasy Football,2024
3 - 10,30,Alvin Kamara,RB,All my homies hate Dallas,231.09,16.51,265.3,18.95,14,90.54,A-,0755 Fantasy Football,2024
13 - 4,124,Jameson Williams,WR,Division iPad,161.76,10.78,212.2,14.15,15,90.51,A-,0755 Fantasy Football,2024
9 - 9,89,Courtland Sutton,WR,Patrick's Stars,189.57,12.64,240.3,14.14,17,90.2,A-,0755 Fantasy Football,2024
3 - 4,24,James Cook,RB,Division iPad,221.92,15.85,266.7,16.67,16,89.86,B+,0755 Fantasy Football,2024
2 - 5,15,Kyren Williams,RB,3rd World Immigrant,232.87,16.63,272.1,17.01,16,89.56,B+,0755 Fantasy Football,2024
8 - 7,77,Kyler Murray,QB,Division iPad,264.09,17.61,297.24,17.48,17,89.35,B+,0755 Fantasy Football,2024
6 - 6,56,Aaron Jones,RB,It's Britney's Bench,189.91,13.57,241.6,14.21,17,89.03,B+,0755 Fantasy Football,2024
8 - 2,72,David Montgomery,RB,Patrick's Stars,177.34,12.67,221.72,15.84,14,88.88,B+,0755 Fantasy Football,2024
16 - 2,152,Zach Charbonnet,RB,Patrick's Stars,139.96,10.0,186.9,10.99,17,88.49,B+,0755 Fantasy Football,2024
16 - 7,157,Ka'imi Fairbairn,K,Division iPad,135.34,7.96,156.0,9.18,17,88.25,B+,0755 Fantasy Football,2024
12 - 5,115,Rico Dowdle,RB,3rd World Immigrant,148.5,10.61,197.8,12.36,16,88.21,B+,0755 Fantasy Football,2024
4 - 1,31,Jalen Hurts,QB,All my homies hate Dallas,314.32,20.95,315.12,21.01,15,88.12,B+,0755 Fantasy Football,2024
15 - 6,146,Jake Bates,K,3rd World Immigrant,129.37,7.61,153.0,9.0,17,87.65,B+,0755 Fantasy Football,2024
12 - 4,114,J.K. Dobbins,RB,Olave Another,155.48,11.96,191.8,14.75,13,87.26,B+,0755 Fantasy Football,2024
7 - 3,63,Tee Higgins,WR,I'm Batman,202.03,14.43,222.1,18.51,12,87.05,B+,0755 Fantasy Football,2024
4 - 3,33,Joe Mixon,RB,Dak Stinks,218.62,15.62,240.5,17.18,14,86.87,B,0755 Fantasy Football,2024
16 - 4,154,Darnell Mooney,WR,Olave Another,174.04,11.6,193.2,12.07,16,86.32,B,0755 Fantasy Football,2024
12 - 2,112,Najee Harris,RB,Patrick's Stars,174.97,12.5,204.6,12.04,17,86.14,B,0755 Fantasy Football,2024
8 - 9,79,Brock Purdy,QB,Chicken Fried Chicken Meal,259.3,17.29,266.86,17.79,15,86.05,B,0755 Fantasy Football,2024
13 - 6,126,Caleb Williams,QB,3rd World Immigrant,252.19,16.81,254.54,14.97,17,86.01,B,0755 Fantasy Football,2024
10 - 1,91,Jordan Addison,WR,All my homies hate Dallas,188.63,12.58,212.5,14.17,15,85.96,B,0755 Fantasy Football,2024
13 - 7,127,Aaron Rodgers,QB,Olave Another,265.24,17.68,256.58,15.09,17,85.66,B,0755 Fantasy Football,2024
11 - 1,101,Steelers D/ST,D/ST,Metcalves of Steele,137.59,8.09,147.0,8.65,17,84.94,B,0755 Fantasy Football,2024
6 - 1,51,DJ Moore,WR,All my homies hate Dallas,223.6,14.91,238.1,14.01,17,84.94,B,0755 Fantasy Football,2024
12 - 10,120,Pat Freiermuth,TE,Metcalves of Steele,138.09,9.21,168.3,9.9,17,84.71,B,0755 Fantasy Football,2024
2 - 8,18,Davante Adams,WR,I'm Batman,234.0,15.6,241.3,17.24,14,84.66,B,0755 Fantasy Football,2024
3 - 1,21,Mike Evans,WR,Metcalves of Steele,235.36,15.69,240.4,17.17,14,84.56,B,0755 Fantasy Football,2024
9 - 2,82,Tony Pollard,RB,Chicken Fried Chicken Meal,172.81,12.34,200.7,12.54,16,84.26,B,0755 Fantasy Football,2024
11 - 4,104,Jordan Love,QB,Division iPad,206.72,17.23,233.86,15.59,15,83.96,B,0755 Fantasy Football,2024
5 - 5,45,D'Andre Swift,RB,It's Britney's Bench,180.74,12.91,214.5,12.62,17,83.87,B,0755 Fantasy Football,2024
1 - 10,10,Jonathan Taylor,RB,All my homies hate Dallas,256.83,18.34,244.7,17.48,14,83.84,B,0755 Fantasy Football,2024
5 - 9,49,Patrick Mahomes,QB,Patrick's Stars,307.68,20.51,283.02,17.69,16,83.82,B,0755 Fantasy Football,2024
2 - 2,12,Garrett Wilson,WR,Patrick's Stars,251.59,16.77,251.9,14.82,17,83.47,B,0755 Fantasy Football,2024
10 - 10,100,Jayden Reed,WR,Metcalves of Steele,180.45,12.03,197.0,11.59,17,83.07,B,0755 Fantasy Football,2024
1 - 5,5,CeeDee Lamb,WR,It's Britney's Bench,316.73,21.12,263.4,17.56,15,82.87,B-,0755 Fantasy Football,2024
16 - 5,155,Jordan Mason,RB,3rd World Immigrant,82.57,6.35,115.0,9.58,12,82.58,B-,0755 Fantasy Football,2024
